更新时间：,04-12 18:50
风险等级,省份,区域
中风险,广东,广州市白云区黄石街道黄石东路488号江夏灯饰建材城
中风险,广东,广州市白云区人和镇穗和东大街12号205-208迪鹿酒吧
中风险,广东,广州市白云区三元里大道1008号鸿盈汇大厦
中风险,广东,茂名市高新区七迳镇山岚村委会上山岚村2号
中风险,广东,茂名市电白区坡心镇新河村委会羊甘昌村二组51号
中风险,广东,茂名市电白区水东街道西湖西路28号底商01至03号商铺
中风险,河南,漯河市郾城区海河路沙澧文景苑小区
中风险,河南,漯河市临颍县台陈镇台陈村
中风险,河南,商丘市永城市团结路以南、建设路以北、雪枫路以东、中原路以西区域（含澳林购物广场）
中风险,河南,商丘市永城市中原路以东、雨亭路以西、汉梁路以南、建设路以北区域
中风险,河南,周口市太康县城关镇建设路北段、福兴社区、原纱厂家属院合围地区
中风险,河南,周口市太康县城关镇建设路以西、交通路以南、原小铁路以东、谢安路以北合围地区
中风险,福建,泉州市丰泽区城东街道通海社区
中风险,福建,泉州市晋江市陈埭镇涵口村五四路17号
中风险,福建,泉州市晋江市池店镇浯潭村
中风险,福建,泉州市晋江市陈埭镇洋埭村
中风险,福建,泉州市晋江市池店镇东山村
中风险,福建,泉州市晋江市店镇百信御江帝景一期
中风险,福建,泉州市晋江市陈埭镇海尾村
中风险,福建,泉州市晋江市陈埭江滨南路、鞋都路、九十九溪围合的三角区域
中风险,福建,泉州市丰泽区东海街道法石社区
中风险,福建,泉州市丰泽区城东街道埭头社区
中风险,福建,泉州市丰泽区城东街道埭头社区
中风险,福建,泉州市丰泽区丰泽街道霞淮社区
中风险,福建,泉州市丰泽区丰泽街道东涂社区
中风险,福建,泉州市丰泽区丰泽街道源淮社区
中风险,福建,泉州市丰泽区泉秀街道灯洲社区
中风险,福建,泉州市晋江市陈埭镇高坑村
中风险,福建,泉州市晋江市池店镇新店村
中风险,福建,泉州市丰泽区城东街道东星社区
中风险,福建,泉州市丰泽区泉秀街道灯星社区
中风险,福建,泉州市丰泽区东海街道滨城社区
中风险,福建,泉州市晋江市安海镇安平社区
中风险,福建,泉州市丰泽区城东街道毓才花苑二期6栋、13栋
中风险,福建,泉州市晋江市陈埭镇庵上村
中风险,福建,泉州市丰泽区城东街道美仙山二期20栋
中风险,黑龙江,牡丹江市爱民区中华社区
中风险,黑龙江,牡丹江市爱民区庆旺社区
中风险,黑龙江,牡丹江市爱民区通乡社区
中风险,黑龙江,牡丹江市爱民区庆达社区
中风险,黑龙江,牡丹江市爱民区文化社区
中风险,黑龙江,牡丹江市爱民区明月社区
中风险,黑龙江,牡丹江市爱民区兴平社区
中风险,黑龙江,牡丹江市爱民区建卫社区
中风险,黑龙江,牡丹江市爱民区地明安居社区
中风险,黑龙江,佳木斯市汤原县幸福家园8号楼
中风险,黑龙江,佳木斯市汤原县幸福家园4号楼
中风险,黑龙江,佳木斯市汤原县幸福家园3号楼
中风险,黑龙江,佳木斯市汤原县清华新城12号楼
中风险,黑龙江,佳木斯市汤原县清华新城5号楼
中风险,黑龙江,佳木斯市汤原县学府新城10号楼
中风险,黑龙江,佳木斯市汤原县清华C区12号楼
中风险,黑龙江,佳木斯市汤原县清华C区6号楼
中风险,黑龙江,佳木斯市汤原县理想家园11号楼
中风险,黑龙江,佳木斯市汤原县理想家园10号楼
中风险,黑龙江,佳木斯市汤原县理想家园6号楼
中风险,黑龙江,佳木斯市汤原县阳光花园小区
中风险,黑龙江,哈尔滨市南岗区哈达村
中风险,安徽,六安市裕安区城南镇南河佳苑34栋
中风险,安徽,六安市裕安区平桥乡王店村墩塘组
中风险,安徽,六安市裕安区小华山街道香格里拉小区15栋
中风险,安徽,六安市金安区望城街道金望花园11栋
中风险,安徽,六安市裕安区城南镇南城小区23栋
中风险,安徽,六安市裕安区城南镇宝业小区8号楼
中风险,安徽,阜阳市颍州学村北区
中风险,安徽,阜阳市颍上县谢桥镇全域
中风险,安徽,淮南市凤台县刘集镇淝北村
中风险,安徽,淮南市凤台县李冲回族乡李冲村
中风险,安徽,淮南市凤台县李冲回族乡民族村
中风险,安徽,芜湖市繁昌区新城华府小区1号楼
中风险,陕西,西安市西咸新区孟家村
中风险,陕西,西安市西咸新区沣东新城建章路街道祥云物流中心
中风险,江苏,宿迁市宿城区双庄街道浙富世贸广场3号楼
中风险,江苏,徐州市睢宁县李岳小区18号楼
中风险,江苏,徐州市睢宁县景湖小区一期4号楼
中风险,江苏,徐州市泉山区余二菜馆（矿南小区24号楼西侧平房）
中风险,江苏,徐州市泉山区永安街道煤建路169小区7号楼
中风险,江苏,徐州市云龙区翠屏山街道玉兰苑C1号楼
中风险,江苏,徐州市鼓楼区环城路坝子街60号弘辉大厦
中风险,江苏,徐州市鼓楼区环城街道朱庄小区25号楼
中风险,江苏,徐州市贾汪区汴塘镇朱古村
中风险,江苏,徐州市贾汪区汴塘镇孟省村
