日期,天气,最低气温,最高气温,风向1,风向2,风级
24,阴转小雨,15,20,北风,东北风,4
25,小雨转多云,16,20,无持续风向,东风,3
26,阴转多云,17,20,无持续风向,无持续风向,3
27,多云,17,22,无持续风向,无持续风向,3
28,多云,15,23,无持续风向,无持续风向,3
29,多云转小雨,12,21,无持续风向,北风,3
30,小雨转阴,12,17,东北风,东北风,4
31,阴转雨,12,15,东风,东北风,4
1,雨,11,15,北风,北风,4
2,阴转雨,10,13,北风,北风,4
3,阴转雨,11,15,东北风,东北风,4
4,雨,13,16,东北风,东北风,4
5,雨,12,15,东北风,东北风,4
6,雨,12,14,东北风,东北风,4
日期,天气,最低气温,最高气温,风向1,风向2,风级
4,多云,8,15,北风,东北风,4
5,多云,10,16,无持续风向,无持续风向,3
6,阴转阵雨,14,17,无持续风向,东风,3
7,阵雨转多云,12,19,北风,北风,4
8,多云转阴,10,16,无持续风向,无持续风向,3
9,阴转小雨,10,16,北风,北风,4
10,雨,12,16,东北风,东南风,3
11,雨转多云,13,18,北风,北风,3
12,阴转雨,13,17,北风,东风,3
13,雨,12,16,北风,北风,4
14,雨,11,13,北风,东北风,4
15,雨,9,11,东北风,北风,4
16,雨,9,12,东北风,东北风,4
17,雨,9,11,东北风,北风,4
